layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,Sigmoid,10,0.1,256,1.735948819922499,3.5941165429264847,0.02682197093963623,71.06751966795835
1,4,Sigmoid,10,0.1,512,1.6159948445944639,3.176500526589441,0.13989979028701782,73.06675259009228
1,4,Sigmoid,10,0.01,16,2.6041107830144554,10.01222641004915,-1.711008071899414,56.59815361642575
1,4,Sigmoid,10,0.01,32,2.543702512961894,9.638391551618387,-1.6097848415374756,57.60495811730178
1,4,Sigmoid,10,0.01,64,3.11334533309542,12.74774408524218,-2.4517035484313965,48.11091111507634
1,4,Sigmoid,10,0.01,128,2.304007805267406,8.300854196215166,-1.2476201057434082,61.59986991220989
1,4,Sigmoid,10,0.01,256,2.5307084281640413,9.493312578889388,-1.5705018043518066,57.82152619726597
1,4,Sigmoid,10,0.01,512,2.0495349718323834,7.127748629913158,-0.9299787282943726,65.8410838027936
1,4,Sigmoid,10,0.001,16,2.7645965696578894,10.964526428500461,-1.9688620567321777,53.92339050570185
1,4,Sigmoid,10,0.001,32,3.056652705438312,13.1554350868734,-2.562094211578369,49.055788242694796
1,4,Sigmoid,10,0.001,64,2.747285189005782,10.976426506446314,-1.9720842838287354,54.211913516570306
1,4,Sigmoid,10,0.001,128,2.4873939160407295,9.123510430086766,-1.4703705310821533,58.54343473265451
1,4,Sigmoid,10,0.001,256,3.2498401106108448,14.236918162639988,-2.854926824569702,45.83599815648592
1,4,Sigmoid,10,0.001,512,3.176237774709015,13.767912919423368,-2.7279343605041504,47.06270375484974
1,4,Sigmoid,10,0.0001,16,2.5207641059202506,9.409024633218678,-1.5476794242858887,57.98726490132915
1,4,Sigmoid,10,0.0001,32,2.8571815919175076,11.54328242934218,-2.1255717277526855,52.380306801374864
1,4,Sigmoid,10,0.0001,64,3.3308796704379096,14.878175150098315,-3.028559684753418,44.485338826034834
1,4,Sigmoid,10,0.0001,128,3.0462167073067623,12.998585192050209,-2.5196239948272705,49.2297215448873
1,4,Sigmoid,10,0.0001,256,3.119286206535484,13.403867543582288,-2.629361867904663,48.01189655774193
1,4,Sigmoid,10,0.0001,512,2.6237764616736845,10.12862986039754,-1.7425265312194824,56.2703923054386
1,4,Sigmoid,25,10.0,16,238.53577207560798,89832.8747739027,-24323.0234375,-3875.596201260133
1,4,Sigmoid,25,10.0,32,439.04617378334063,310766.3028005251,-84145.1171875,-7217.436229722344
1,4,Sigmoid,25,10.0,64,61.47121432825183,5922.920846705466,-1602.747802734375,-924.5202388041972
1,4,Sigmoid,25,10.0,128,24.68493784685789,940.8488033335544,-253.75341796875,-311.4156307809648
1,4,Sigmoid,25,10.0,256,62.89166599751646,6056.8790855993875,-1639.0196533203125,-948.194433291941
1,4,Sigmoid,25,10.0,512,242.0065680246263,92125.43375989016,-24943.78125,-3933.4428004104384
1,4,Sigmoid,25,1.0,16,3.0798290889032063,17.02644244505186,-3.6102452278137207,48.66951518494657
1,4,Sigmoid,25,1.0,32,1.995453231723596,6.79065083775185,-0.838702917098999,66.74244613794006
1,4,Sigmoid,25,1.0,64,2.0098800707088857,5.266830511271759,-0.42609846591949463,66.50199882151857
1,4,Sigmoid,25,1.0,128,1.7913192161149731,5.23061479324844,-0.41629230976104736,70.14467973141711
1,4,Sigmoid,25,1.0,256,1.6470407718180482,3.9158142644761367,-0.06028401851654053,72.5493204696992
1,4,Sigmoid,25,1.0,512,2.0847865436094026,6.698103686350897,-0.8136439323425293,65.25355760650994
1,4,Sigmoid,25,0.1,16,1.3479952998195135,2.718705011281978,0.2638569474220276,77.53341166967478
1,4,Sigmoid,25,0.1,32,1.343544953258325,2.7754955005573416,0.2484797239303589,77.60758411236125
1,4,Sigmoid,25,0.1,64,1.337252965280632,2.7900556267418244,0.244537353515625,77.71245057865613
1,4,Sigmoid,25,0.1,128,1.3341952701832385,2.794112590906792,0.24343878030776978,77.76341216361268
1,4,Sigmoid,25,0.1,256,1.2994223838015933,2.9522504247522146,0.20061981678009033,78.34296026997345
1,4,Sigmoid,25,0.1,512,1.3105332180681522,2.6953862110222007,0.27017098665237427,78.15777969886413
1,4,Sigmoid,25,0.01,16,2.4137052830229413,8.414424123456245,-1.2783715724945068,59.7715786162843
1,4,Sigmoid,25,0.01,32,2.724120002477727,10.124596688996157,-1.7414343357086182,54.597999958704555
1,4,Sigmoid,25,0.01,64,2.198300126420409,7.495150734567678,-1.0294601917266846,63.36166455965986
1,4,Sigmoid,25,0.01,128,2.549222323330159,9.406433020915992,-1.5469775199890137,57.51296127783068
1,4,Sigmoid,25,0.01,256,2.31604762741719,8.383103087599736,-1.2698907852172852,61.39920620971351
1,4,Sigmoid,25,0.01,512,2.1274683334232787,7.218031722568341,-0.9544246196746826,64.54219444294536
1,4,Sigmoid,25,0.001,16,2.807236416991932,11.236554007472321,-2.0425190925598145,53.21272638346779
1,4,Sigmoid,25,0.001,32,2.916591223796068,11.64681516630198,-2.1536049842834473,51.39014627006553
1,4,Sigmoid,25,0.001,64,2.6901049255162266,10.586693094949627,-1.866556167602539,55.16491790806288
1,4,Sigmoid,25,0.001,128,3.0520583419723715,12.735729123358897,-2.4484503269195557,49.13236096712714
1,4,Sigmoid,25,0.001,256,2.694382361451221,10.629650204197576,-1.878187894821167,55.09362730914631
1,4,Sigmoid,25,0.001,512,3.182201041784974,13.506647878325028,-2.657191753387451,46.96331597025043
1,4,Sigmoid,25,0.0001,16,3.160684467700638,13.854580066695757,-2.75140118598938,47.321925538322695
1,4,Sigmoid,25,0.0001,32,2.869334012217133,11.747986134160678,-2.180999279022217,52.17776646304779
1,4,Sigmoid,25,0.0001,64,3.02266359824608,12.997092131344562,-2.519219398498535,49.62227336256534
1,4,Sigmoid,25,0.0001,128,2.827282624042331,11.283007345280978,-2.0550971031188965,52.87862293262782
1,4,Sigmoid,25,0.0001,256,2.6331797484880926,10.052554079506697,-1.7219276428222656,56.11367085853178
1,4,Sigmoid,25,0.0001,512,3.0152634577407342,12.740460600331927,-2.4497313499450684,49.745609037654425
1,4,Sigmoid,50,10.0,16,28.077442705772164,808.6759833482668,-217.96499633789062,-367.95737842953605
1,4,Sigmoid,50,10.0,32,40.14361280076047,2455.8980798060256,-663.98291015625,-569.0602133460079
1,4,Sigmoid,50,10.0,64,48.90125476214902,3712.1450118021808,-1004.1365356445312,-715.0209127024837
1,4,Sigmoid,50,10.0,128,41.25902660518673,2655.286548685889,-717.9713134765625,-587.6504434197789
1,4,Sigmoid,50,10.0,256,114.88195061514564,20154.11209068843,-5456.12353515625,-1814.699176919094
1,4,Sigmoid,50,10.0,512,41.22280810854396,2468.923108626974,-667.5097045898438,-587.046801809066
1,4,Sigmoid,50,1.0,16,1.5889311806248152,3.251744637781133,0.11952584981918335,73.51781365625307
1,4,Sigmoid,50,1.0,32,1.4983056656857754,3.192231027393518,0.13564038276672363,75.02823890523707
1,4,Sigmoid,50,1.0,64,1.6407329978390506,3.756204807150704,-0.017066597938537598,72.65445003601583
1,4,Sigmoid,50,1.0,128,1.5024981236626915,3.0963095925619535,0.16161298751831055,74.95836460562181
1,4,Sigmoid,50,1.0,256,1.3907405411379838,3.1839066616804637,0.1378943920135498,76.8209909810336
1,4,Sigmoid,50,1.0,512,3.867614814857501,22.840589283715094,-5.184540271759033,35.53975308570831
1,4,Sigmoid,50,0.1,16,1.3489085399230885,2.6940349061870226,0.27053672075271606,77.51819100128185
1,4,Sigmoid,50,0.1,32,1.3935713325550088,2.7269681262922014,0.261619508266449,76.7738111240832
1,4,Sigmoid,50,0.1,64,1.388963695818087,2.7219391275153653,0.26298123598098755,76.85060506969855
1,4,Sigmoid,50,0.1,128,1.4149843223269667,2.7633374517006977,0.2517717480659485,76.41692796121721
1,4,Sigmoid,50,0.1,256,1.346126887674309,2.700814047614452,0.2687012553215027,77.56455187209484
1,4,Sigmoid,50,0.1,512,1.3779208523443687,2.7287772416121228,0.26112961769104004,77.03465246092719
1,4,Sigmoid,50,0.01,16,1.3835151506935732,3.6980341800108434,-0.0013158321380615234,76.94141415510711
1,4,Sigmoid,50,0.01,32,1.587892983681203,4.667999878120374,-0.26395320892333984,73.53511693864661
1,4,Sigmoid,50,0.01,64,1.3944169034032112,3.840578007337665,-0.03991234302520752,76.75971827661314
1,4,Sigmoid,50,0.01,128,1.2854523781343554,2.963961407905784,0.19744890928268433,78.57579369776074
1,4,Sigmoid,50,0.01,256,1.3057943625512134,3.320278759782854,0.10096895694732666,78.23676062414644
1,4,Sigmoid,50,0.01,512,1.8141687816585772,5.548454697081458,-0.5023539066314697,69.76385363902371
1,4,Sigmoid,50,0.001,16,3.0856468557395553,13.119919987466357,-2.5524778366088867,48.57255240434074
1,4,Sigmoid,50,0.001,32,2.367224822582646,8.550381852182642,-1.3151845932006836,60.546252956955904
1,4,Sigmoid,50,0.001,64,2.6392929898156625,10.145537074041803,-1.7471048831939697,56.0117835030723
1,4,Sigmoid,50,0.001,128,2.377111795946216,8.637730761971666,-1.3388361930847168,60.38147006756307
1,4,Sigmoid,50,0.001,256,2.5661062304080238,9.714546763765776,-1.6304051876068115,57.231562826532944
1,4,Sigmoid,50,0.001,512,2.858913215586198,11.54018482191955,-2.1247329711914062,52.351446406896706
1,4,Sigmoid,50,0.0001,16,2.7301696180839348,10.881278601280824,-1.9463207721710205,54.49717303193442
1,4,Sigmoid,50,0.0001,32,3.0632756395578102,13.111037333108017,-2.550072431564331,48.945406007369826
1,4,Sigmoid,50,0.0001,64,3.1238341238657914,13.416221667603036,-2.632706880569458,47.936097935570146
1,4,Sigmoid,50,0.0001,128,3.156472156832686,13.600568970986377,-2.6826229095458984,47.39213071945524
1,4,Sigmoid,50,0.0001,256,3.0074965778923204,12.73658262846888,-2.448681592941284,49.87505703512799
1,4,Sigmoid,50,0.0001,512,2.6033336940633207,10.1322072693746,-1.7434954643249512,56.61110509894465
1,4,Sigmoid,100,10.0,16,2.7597368570929723,11.039959419725255,-1.9892873764038086,54.004385715117124
1,4,Sigmoid,100,10.0,32,11.881971260052765,212.3333661127068,-56.49345397949219,-98.03285433421276
1,4,Sigmoid,100,10.0,64,2.566439058763761,9.70685089360312,-1.628321647644043,57.22601568727066
1,4,Sigmoid,100,10.0,128,16.099999346631638,372.2048745218248,-99.78182220458984,-168.33332244386062
1,4,Sigmoid,100,10.0,256,2.0661883714914886,6.669014893651324,-0.8057675361633301,65.56352714180854
1,4,Sigmoid,100,10.0,512,9.093316741023504,123.27296479681341,-32.37858963012695,-51.55527901705839
1,4,Sigmoid,100,1.0,16,1.387977352097243,2.740970924786812,0.2578279972076416,76.86704413171262
1,4,Sigmoid,100,1.0,32,1.3902438306921199,2.7353135781379043,0.25935977697372437,76.82926948846467
1,4,Sigmoid,100,1.0,64,1.373599182065779,2.7289776714373133,0.261075496673584,77.10668029890368
1,4,Sigmoid,100,1.0,128,1.385318373393787,2.7307399186660897,0.26059818267822266,76.91136044343688
1,4,Sigmoid,100,1.0,256,1.3793652098511409,2.725004911096791,0.2621510624885559,77.01057983581433
1,4,Sigmoid,100,1.0,512,1.384488459738152,2.729446241614338,0.2609485983848572,76.92519233769747
1,4,Sigmoid,100,0.1,16,1.3831884294536942,2.7249474564588527,0.2621666193008423,76.9468595091051
1,4,Sigmoid,100,0.1,32,1.3831575962386797,2.7221760225426794,0.26291704177856445,76.947373396022
1,4,Sigmoid,100,0.1,64,1.3839862937059244,2.7233687259465227,0.26259416341781616,76.93356177156792
1,4,Sigmoid,100,0.1,128,1.3837663314303044,2.7237520510928364,0.26249027252197266,76.93722780949493
1,4,Sigmoid,100,0.1,256,1.3862950121257323,2.7256000427508096,0.261989951133728,76.8950831312378
1,4,Sigmoid,100,0.1,512,1.3821235190610233,2.7227428238311973,0.2627636194229126,76.96460801564962
1,4,Sigmoid,100,0.01,16,1.3981856248621118,2.7433861785534894,0.25717395544052124,76.69690625229813
1,4,Sigmoid,100,0.01,32,1.4113671076495033,2.7598058521282507,0.25272810459136963,76.47721487250828
1,4,Sigmoid,100,0.01,64,1.4177362178375252,2.7696654378873156,0.2500583529472351,76.37106303604125
1,4,Sigmoid,100,0.01,128,1.3775108946976087,2.7188284970334693,0.2638234496116638,77.04148508837318
1,4,Sigmoid,100,0.01,256,1.3928619207501693,2.7355354042358693,0.25929969549179077,76.78563465416384
1,4,Sigmoid,100,0.01,512,1.4359187375991902,2.799539849022505,0.2419692873954773,76.0680210400135
1,4,Sigmoid,100,0.001,16,2.2122217981105154,7.841486374365717,-1.1232373714447021,63.12963669815807
1,4,Sigmoid,100,0.001,32,2.1226658410003,7.126274318956101,-0.9295796155929565,64.62223598332832
1,4,Sigmoid,100,0.001,64,2.524615297098391,9.491069277858074,-1.5698943138122559,57.923078381693486
1,4,Sigmoid,100,0.001,128,2.3786802984791726,8.685602582730166,-1.3517982959747314,60.35532835868045
1,4,Sigmoid,100,0.001,256,2.61633421304519,9.9718850563139,-1.700084924697876,56.39442978258016
1,4,Sigmoid,100,0.001,512,2.17345696138152,7.594988413460327,-1.0564930438995361,63.775717310307996
1,4,Sigmoid,100,0.0001,16,2.8414337141329233,11.662955359292729,-2.157975673675537,52.64277143111795
1,4,Sigmoid,100,0.0001,32,2.976489655920095,12.651647454339425,-2.4256834983825684,50.391839067998426
1,4,Sigmoid,100,0.0001,64,2.9996031458372907,12.571324949497455,-2.403934955596924,50.00661423604515
1,4,Sigmoid,100,0.0001,128,3.090594515556703,13.197262823787792,-2.5734198093414307,48.49009140738828
1,4,Sigmoid,100,0.0001,256,3.256533844215932,14.294590121528392,-2.870542526245117,45.72443592973446
1,4,Sigmoid,100,0.0001,512,2.6476243133029196,10.195675346848086,-1.7606806755065918,55.872928111618016
1,4,Sigmoid,250,10.0,16,1.3827291859520807,2.72528391541487,0.26207560300827026,76.95451356746533
1,4,Sigmoid,250,10.0,32,1.5029827212610989,3.1112212792732437,0.15757536888122559,74.95028797898169
1,4,Sigmoid,250,10.0,64,302.4293375195623,140870.8597255958,-38142.56640625,-4940.488958659372
1,4,Sigmoid,250,10.0,128,1.3834266527324703,2.7233892052030457,0.26258862018585205,76.94288912112549
1,4,Sigmoid,250,10.0,256,2.032194011318486,6.638037505449688,-0.7973798513412476,66.13009981135856
1,4,Sigmoid,250,10.0,512,1.5866218593949122,3.7347305181364976,-0.011252045631408691,73.55630234341812
1,4,Sigmoid,250,1.0,16,1.3831092499672097,2.723215507637346,0.26263558864593506,76.94817916721317
1,4,Sigmoid,250,1.0,32,1.383117209371382,2.723226967328953,0.26263248920440674,76.94804651047697
1,4,Sigmoid,250,1.0,64,1.383116732252405,2.723226932639612,0.26263248920440674,76.94805446245991
1,4,Sigmoid,250,1.0,128,1.3831139151931655,2.723222104531557,0.2626338005065918,76.94810141344725
1,4,Sigmoid,250,1.0,256,1.38312055751787,2.723230563018987,0.26263153553009033,76.94799070803549
1,4,Sigmoid,250,1.0,512,1.3831151870407392,2.7232216269104996,0.2626339793205261,76.94808021598767
1,4,Sigmoid,250,0.1,16,1.3831149721540177,2.723224359214632,0.2626332640647888,76.94808379743304
1,4,Sigmoid,250,0.1,32,1.3831159166692277,2.7232261866864937,0.26263272762298584,76.94806805551288
1,4,Sigmoid,250,0.1,64,1.3831154450457146,2.723225222566187,0.2626330256462097,76.94807591590475
1,4,Sigmoid,250,0.1,128,1.3831160758263112,2.723226132112525,0.2626327872276306,76.94806540289481
1,4,Sigmoid,250,0.1,256,1.3831156266778355,2.7232253757962974,0.26263296604156494,76.94807288870274
1,4,Sigmoid,250,0.1,512,1.383115460263922,2.723225073271431,0.26263296604156494,76.94807566226797
1,4,Sigmoid,250,0.01,16,1.3831004580707416,2.7232404355166184,0.26262879371643066,76.94832569882098
1,4,Sigmoid,250,0.01,32,1.3831149226243895,2.7232252948593985,0.26263296604156494,76.94808462292684
1,4,Sigmoid,250,0.01,64,1.3831114337799397,2.7232212358667622,0.2626340389251709,76.94814277033434
1,4,Sigmoid,250,0.01,128,1.3830659988712757,2.7232000579019813,0.2626398205757141,76.94890001881207
1,4,Sigmoid,250,0.01,256,1.3831052291900554,2.7232191678636197,0.2626345753669739,76.94824618016575
1,4,Sigmoid,250,0.01,512,1.383110319468992,2.723219311608721,0.2626345157623291,76.94816134218347
1,4,Sigmoid,250,0.001,16,2.1715876221146004,7.35386588091267,-0.9912045001983643,63.806872964756664
1,4,Sigmoid,250,0.001,32,1.9980822430293892,6.590641122432091,-0.7845461368560791,66.69862928284351
1,4,Sigmoid,250,0.001,64,2.2079671104185405,7.547193744256699,-1.0435516834259033,63.20054815969098
1,4,Sigmoid,250,0.001,128,1.852714774033702,6.0126331037859115,-0.6280391216278076,69.12142043277163
1,4,Sigmoid,250,0.001,256,2.0492109126162585,6.744307657376067,-0.8261545896530151,65.84648478972903
1,4,Sigmoid,250,0.001,512,2.3094237962226885,7.989088330756311,-1.163203477859497,61.509603396288526
1,4,Sigmoid,250,0.0001,16,2.6341264588894857,10.187101650936068,-1.7583589553833008,56.09789235184191
1,4,Sigmoid,250,0.0001,32,3.34849016079525,14.599934990259486,-2.953220844268799,44.1918306534125
1,4,Sigmoid,250,0.0001,64,2.5063319221385547,9.446930110997561,-1.5579431056976318,58.22780129769076
1,4,Sigmoid,250,0.0001,128,3.227601703247562,14.113702228277907,-2.821563482284546,46.206638279207304
1,4,Sigmoid,250,0.0001,256,2.572037558623944,9.790820590391222,-1.6510584354400635,57.13270735626761
1,4,Sigmoid,250,0.0001,512,2.6531363381843476,10.271301729076157,-1.7811579704284668,55.78106103026088
1,4,ReLU,1,10.0,16,52.552899193820096,3958.9718895808714,-1070.9698486328125,-775.8816532303349
1,4,ReLU,1,10.0,32,814.2033020565132,991905.4541614202,-268577.0,-13470.05503427522
1,4,ReLU,1,10.0,64,944.6498484059147,1284268.0718073042,-347739.96875,-15644.164140098579
1,4,ReLU,1,10.0,128,872.4662962117658,1097684.9040788268,-297218.875,-14441.104936862763
1,4,ReLU,1,10.0,256,36.558581158342655,1922.289050013775,-519.4977416992188,-509.30968597237757
1,4,ReLU,1,10.0,512,842.9188232602239,1096003.8322342085,-296763.6875,-13948.647054337065
1,4,ReLU,1,1.0,16,5.779081902746332,45.536410256056904,-11.329883575439453,3.6819682875611437
1,4,ReLU,1,1.0,32,3.6136248657043946,21.505926053472958,-4.823153972625732,39.772918904926755
1,4,ReLU,1,1.0,64,6.282905237894532,56.891886414524244,-14.40460205078125,-4.715087298242193
1,4,ReLU,1,1.0,128,5.989184182938673,47.55382800093551,-11.876138687133789,0.18026361768878063
1,4,ReLU,1,1.0,256,5.562644727263891,46.87031886206141,-11.691064834594727,7.289254545601819
1,4,ReLU,1,1.0,512,12.797536052428802,249.72488386863128,-66.6179428100586,-113.29226754048003
1,4,ReLU,1,0.1,16,2.1951888248007347,7.782415317520206,-1.1072428226470947,63.413519586654424
1,4,ReLU,1,0.1,32,2.6764378897299723,10.418209698259298,-1.8209362030029297,55.392701837833805
1,4,ReLU,1,0.1,64,2.8534938048298337,11.572394223499797,-2.1334543228149414,52.441769919502775
1,4,ReLU,1,0.1,128,2.629507704054492,10.125356145878195,-1.7416400909423828,56.1748715990918
1,4,ReLU,1,0.1,256,3.0884439602811287,12.895280404195269,-2.491652011871338,48.52593399531452
1,4,ReLU,1,0.1,512,2.7911300809864596,11.106199913387302,-2.007222890853882,53.48116531689233
1,4,ReLU,1,0.01,16,2.965233803288593,12.171179953569904,-2.2955875396728516,50.57943661185678
1,4,ReLU,1,0.01,32,2.688544061484066,10.558243210112812,-1.8588528633117676,55.1909323085989
1,4,ReLU,1,0.01,64,2.6431436169513858,10.274344158352504,-1.7819817066192627,55.947606384143576
1,4,ReLU,1,0.01,128,2.733016028806532,10.839688349055171,-1.9350595474243164,54.449732853224475
1,4,ReLU,1,0.01,256,3.159466934101942,13.617097715653093,-2.6870980262756348,47.34221776496763
1,4,ReLU,1,0.01,512,3.034800467867378,12.984848862321346,-2.515904426574707,49.41999220221037
1,4,ReLU,1,0.001,16,3.1928249544356166,13.85678076262769,-2.751997232437134,46.786250759406386
1,4,ReLU,1,0.001,32,3.204734357730012,14.071683072376178,-2.8101861476898193,46.5877607044998
1,4,ReLU,1,0.001,64,2.8712827899002296,11.783722444601484,-2.190675735473633,52.14528683499617
1,4,ReLU,1,0.001,128,3.092537326628153,13.015823113807782,-2.5242912769317627,48.45771122286412
1,4,ReLU,1,0.001,256,2.8544118200157973,11.678465465979516,-2.162174701690674,52.426469666403385
1,4,ReLU,1,0.001,512,2.7837531094397496,11.133932969000993,-2.014732599258423,53.604114842670846
1,4,ReLU,1,0.0001,16,3.161335306123216,13.810179406634925,-2.7393789291381836,47.31107823127974
1,4,ReLU,1,0.0001,32,3.1210034166597023,13.475803093275536,-2.6488399505615234,47.983276389004956
1,4,ReLU,1,0.0001,64,3.0295797611452446,12.75820211512269,-2.454535484313965,49.507003980912586
1,4,ReLU,1,0.0001,128,2.8307366066966777,11.434661386052383,-2.096160888671875,52.82105655505538
1,4,ReLU,1,0.0001,256,3.2055780014670487,14.086181110256927,-2.8141114711761475,46.57369997554919
1,4,ReLU,1,0.0001,512,2.8167076961227626,11.454146424139132,-2.1014363765716553,53.05487173128729
1,4,ReLU,10,10.0,16,173.3576920241047,44109.058802207284,-11942.3994140625,-2789.294867068412
1,4,ReLU,10,10.0,32,99.5230792972213,15233.554842264046,-4123.78564453125,-1558.7179882870216
1,4,ReLU,10,10.0,64,582.4996275755249,494534.75137335557,-133904.046875,-9608.327126258748
1,4,ReLU,10,10.0,128,528.6268027668585,435722.3285704069,-117979.4296875,-8710.446712780975
1,4,ReLU,10,10.0,256,575.3077177866131,482644.06515721325,-130684.40625,-9488.461963110218
1,4,ReLU,10,10.0,512,423.1246387716163,274897.1567198997,-74432.8359375,-6952.077312860271
1,4,ReLU,10,1.0,16,5.203975242925874,43.0414629932204,-10.654326438903809,13.267079284568773
1,4,ReLU,10,1.0,32,6.9676102257507635,72.25150463824379,-18.563520431518555,-16.126837095846057
1,4,ReLU,10,1.0,64,2.532536134934031,10.539197099962234,-1.8536956310272217,57.79106441776616
1,4,ReLU,10,1.0,128,2.3653363865881665,9.325381424565512,-1.5250310897827148,60.577726890197226
