layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Sigmoid,25,0.001,64,0.28132387706855794
1,4,Sigmoid,25,0.001,128,0.24349881796690306
1,4,Sigmoid,25,0.001,256,0.15602836879432624
1,4,Sigmoid,25,0.001,512,0.14657210401891252
1,4,Sigmoid,25,0.0001,16,0.22695035460992907
1,4,Sigmoid,25,0.0001,32,0.061465721040189124
1,4,Sigmoid,25,0.0001,64,0.0591016548463357
1,4,Sigmoid,25,0.0001,128,0.12293144208037825
1,4,Sigmoid,25,0.0001,256,0.1536643026004728
1,4,Sigmoid,25,0.0001,512,0.18203309692671396
1,4,Sigmoid,50,10.0,16,0.91725768321513
1,4,Sigmoid,50,10.0,32,0.8794326241134752
1,4,Sigmoid,50,10.0,64,0.8439716312056738
1,4,Sigmoid,50,10.0,128,0.7777777777777778
1,4,Sigmoid,50,10.0,256,0.8486997635933806
1,4,Sigmoid,50,10.0,512,0.8534278959810875
1,4,Sigmoid,50,1.0,16,0.9408983451536643
1,4,Sigmoid,50,1.0,32,0.817966903073286
1,4,Sigmoid,50,1.0,64,0.9550827423167849
1,4,Sigmoid,50,1.0,128,0.7588652482269503
1,4,Sigmoid,50,1.0,256,0.8983451536643026
1,4,Sigmoid,50,1.0,512,0.8723404255319149
1,4,Sigmoid,50,0.1,16,0.9314420803782506
1,4,Sigmoid,50,0.1,32,0.9479905437352246
1,4,Sigmoid,50,0.1,64,0.9456264775413712
1,4,Sigmoid,50,0.1,128,0.9408983451536643
1,4,Sigmoid,50,0.1,256,0.950354609929078
1,4,Sigmoid,50,0.1,512,0.9290780141843972
1,4,Sigmoid,50,0.01,16,0.5910165484633569
1,4,Sigmoid,50,0.01,32,0.5933806146572104
1,4,Sigmoid,50,0.01,64,0.6052009456264775
1,4,Sigmoid,50,0.01,128,0.5153664302600472
1,4,Sigmoid,50,0.01,256,0.5555555555555556
1,4,Sigmoid,50,0.01,512,0.5791962174940898
1,4,Sigmoid,50,0.001,16,0.2033096926713948
1,4,Sigmoid,50,0.001,32,0.2624113475177305
1,4,Sigmoid,50,0.001,64,0.2789598108747045
1,4,Sigmoid,50,0.001,128,0.2458628841607565
1,4,Sigmoid,50,0.001,256,0.21513002364066194
1,4,Sigmoid,50,0.001,512,0.13711583924349882
1,4,Sigmoid,50,0.0001,16,0.1536643026004728
1,4,Sigmoid,50,0.0001,32,0.1111111111111111
1,4,Sigmoid,50,0.0001,64,0.09219858156028368
1,4,Sigmoid,50,0.0001,128,0.1702127659574468
1,4,Sigmoid,50,0.0001,256,0.13947990543735225
1,4,Sigmoid,50,0.0001,512,0.21513002364066194
1,4,Sigmoid,100,10.0,16,0.933806146572104
1,4,Sigmoid,100,10.0,32,0.9408983451536643
1,4,Sigmoid,100,10.0,64,0.9479905437352246
1,4,Sigmoid,100,10.0,128,0.9479905437352246
1,4,Sigmoid,100,10.0,256,0.9550827423167849
1,4,Sigmoid,100,10.0,512,0.9550827423167849
1,4,Sigmoid,100,1.0,16,0.9716312056737588
1,4,Sigmoid,100,1.0,32,0.9716312056737588
1,4,Sigmoid,100,1.0,64,0.9621749408983451
1,4,Sigmoid,100,1.0,128,0.9716312056737588
1,4,Sigmoid,100,1.0,256,0.9763593380614657
1,4,Sigmoid,100,1.0,512,0.9621749408983451
1,4,Sigmoid,100,0.1,16,0.9739952718676123
1,4,Sigmoid,100,0.1,32,0.9763593380614657
1,4,Sigmoid,100,0.1,64,0.9787234042553191
1,4,Sigmoid,100,0.1,128,0.9716312056737588
1,4,Sigmoid,100,0.1,256,0.9810874704491725
1,4,Sigmoid,100,0.1,512,0.9692671394799054
1,4,Sigmoid,100,0.01,16,0.7186761229314421
1,4,Sigmoid,100,0.01,32,0.6879432624113475
1,4,Sigmoid,100,0.01,64,0.7541371158392435
1,4,Sigmoid,100,0.01,128,0.6879432624113475
1,4,Sigmoid,100,0.01,256,0.6619385342789598
1,4,Sigmoid,100,0.01,512,0.7257683215130024
1,4,Sigmoid,100,0.001,16,0.2789598108747045
1,4,Sigmoid,100,0.001,32,0.35224586288416077
1,4,Sigmoid,100,0.001,64,0.3333333333333333
1,4,Sigmoid,100,0.001,128,0.30023640661938533
1,4,Sigmoid,100,0.001,256,0.34988179669030733
1,4,Sigmoid,100,0.001,512,0.18912529550827423
1,4,Sigmoid,100,0.0001,16,0.13002364066193853
1,4,Sigmoid,100,0.0001,32,0.2198581560283688
1,4,Sigmoid,100,0.0001,64,0.2198581560283688
1,4,Sigmoid,100,0.0001,128,0.13947990543735225
1,4,Sigmoid,100,0.0001,256,0.16312056737588654
1,4,Sigmoid,100,0.0001,512,0.2553191489361702
1,4,Sigmoid,250,10.0,16,0.9196217494089834
1,4,Sigmoid,250,10.0,32,0.9739952718676123
1,4,Sigmoid,250,10.0,64,0.9645390070921985
1,4,Sigmoid,250,10.0,128,0.8297872340425532
1,4,Sigmoid,250,10.0,256,0.91725768321513
1,4,Sigmoid,250,10.0,512,0.9408983451536643
1,4,Sigmoid,250,1.0,16,0.9787234042553191
1,4,Sigmoid,250,1.0,32,0.9763593380614657
1,4,Sigmoid,250,1.0,64,0.9787234042553191
1,4,Sigmoid,250,1.0,128,0.9810874704491725
1,4,Sigmoid,250,1.0,256,0.9787234042553191
1,4,Sigmoid,250,1.0,512,0.983451536643026
1,4,Sigmoid,250,0.1,16,0.9739952718676123
1,4,Sigmoid,250,0.1,32,0.9787234042553191
1,4,Sigmoid,250,0.1,64,0.983451536643026
1,4,Sigmoid,250,0.1,128,0.9810874704491725
1,4,Sigmoid,250,0.1,256,0.9810874704491725
1,4,Sigmoid,250,0.1,512,0.9810874704491725
1,4,Sigmoid,250,0.01,16,0.9078014184397163
1,4,Sigmoid,250,0.01,32,0.8794326241134752
1,4,Sigmoid,250,0.01,64,0.8865248226950354
1,4,Sigmoid,250,0.01,128,0.8817966903073287
1,4,Sigmoid,250,0.01,256,0.9054373522458629
1,4,Sigmoid,250,0.01,512,0.8841607565011821
1,4,Sigmoid,250,0.001,16,0.5390070921985816
1,4,Sigmoid,250,0.001,32,0.5130023640661938
1,4,Sigmoid,250,0.001,64,0.5602836879432624
1,4,Sigmoid,250,0.001,128,0.5059101654846335
1,4,Sigmoid,250,0.001,256,0.4491725768321513
1,4,Sigmoid,250,0.001,512,0.5059101654846335
1,4,Sigmoid,250,0.0001,16,0.2765957446808511
1,4,Sigmoid,250,0.0001,32,0.1938534278959811
1,4,Sigmoid,250,0.0001,64,0.2364066193853428
1,4,Sigmoid,250,0.0001,128,0.13947990543735225
1,4,Sigmoid,250,0.0001,256,0.22695035460992907
1,4,Sigmoid,250,0.0001,512,0.2765957446808511
1,4,Softmax,1,10.0,16,0.20803782505910165
1,4,Softmax,1,10.0,32,0.06619385342789598
1,4,Softmax,1,10.0,64,0.04491725768321513
1,4,Softmax,1,10.0,128,0.12529550827423167
1,4,Softmax,1,10.0,256,0.17494089834515367
1,4,Softmax,1,10.0,512,0.10638297872340426
1,4,Softmax,1,1.0,16,0.11347517730496454
1,4,Softmax,1,1.0,32,0.0851063829787234
1,4,Softmax,1,1.0,64,0.25059101654846333
1,4,Softmax,1,1.0,128,0.08274231678486997
1,4,Softmax,1,1.0,256,0.06382978723404255
1,4,Softmax,1,1.0,512,0.0851063829787234
1,4,Softmax,1,0.1,16,0.24822695035460993
1,4,Softmax,1,0.1,32,0.32387706855791965
1,4,Softmax,1,0.1,64,0.35224586288416077
1,4,Softmax,1,0.1,128,0.24349881796690306
1,4,Softmax,1,0.1,256,0.24349881796690306
1,4,Softmax,1,0.1,512,0.35224586288416077
1,4,Softmax,1,0.01,16,0.10638297872340426
1,4,Softmax,1,0.01,32,0.21513002364066194
1,4,Softmax,1,0.01,64,0.1276595744680851
1,4,Softmax,1,0.01,128,0.14893617021276595
1,4,Softmax,1,0.01,256,0.16312056737588654
1,4,Softmax,1,0.01,512,0.14420803782505912
1,4,Softmax,1,0.001,16,0.11583924349881797
1,4,Softmax,1,0.001,32,0.12056737588652482
1,4,Softmax,1,0.001,64,0.13238770685579196
1,4,Softmax,1,0.001,128,0.10638297872340426
1,4,Softmax,1,0.001,256,0.12056737588652482
1,4,Softmax,1,0.001,512,0.13002364066193853
1,4,Softmax,1,0.0001,16,0.08983451536643026
1,4,Softmax,1,0.0001,32,0.1182033096926714
1,4,Softmax,1,0.0001,64,0.13947990543735225
1,4,Softmax,1,0.0001,128,0.13002364066193853
1,4,Softmax,1,0.0001,256,0.13238770685579196
1,4,Softmax,1,0.0001,512,0.23877068557919623
1,4,Softmax,10,10.0,16,0.37825059101654845
1,4,Softmax,10,10.0,32,0.4160756501182033
1,4,Softmax,10,10.0,64,0.3829787234042553
1,4,Softmax,10,10.0,128,0.3971631205673759
1,4,Softmax,10,10.0,256,0.3971631205673759
1,4,Softmax,10,10.0,512,0.46099290780141844
1,4,Softmax,10,1.0,16,0.541371158392435
1,4,Softmax,10,1.0,32,0.4397163120567376
1,4,Softmax,10,1.0,64,0.36879432624113473
1,4,Softmax,10,1.0,128,0.4515366430260047
1,4,Softmax,10,1.0,256,0.4728132387706856
1,4,Softmax,10,1.0,512,0.5437352245862884
1,4,Softmax,10,0.1,16,0.624113475177305
1,4,Softmax,10,0.1,32,0.5933806146572104
1,4,Softmax,10,0.1,64,0.5791962174940898
1,4,Softmax,10,0.1,128,0.624113475177305
1,4,Softmax,10,0.1,256,0.5721040189125296
1,4,Softmax,10,0.1,512,0.6264775413711584
1,4,Softmax,10,0.01,16,0.29550827423167847
